date,close
2019-01-02,401.22
2019-01-03,397.33
2019-01-04,401.84
2019-01-07,406.14
2019-01-08,395.8
2019-01-09,387.92
2019-01-10,390.23
2019-01-11,388.74
2019-01-14,389.22
2019-01-15,386.57
2019-01-16,390.83
2019-01-17,393.97
2019-01-18,393.9
2019-01-21,397.64
2019-01-22,399.34
2019-01-23,395.88
2019-01-24,398.28
2019-01-25,394.11
2019-01-28,399.45
2019-01-29,398.37
2019-01-30,398.03
2019-01-31,396.0
2019-02-01,401.42
2019-02-04,399.87
2019-02-05,398.7
2019-02-06,397.77
2019-02-07,399.87
2019-02-08,401.15
2019-02-11,402.71
2019-02-12,404.22
2019-02-13,412.23
2019-02-14,408.12
2019-02-15,406.52
2019-02-18,403.99
2019-02-19,407.22
2019-02-20,411.95
2019-02-21,410.58
2019-02-22,407.88
2019-02-25,405.09
2019-02-26,408.6
2019-02-27,411.6
2019-02-28,413.59
2019-03-01,410.74
2019-03-04,412.57
2019-03-05,412.87
2019-03-06,413.66
2019-03-07,416.68
2019-03-08,417.36
2019-03-11,419.91
2019-03-12,419.92
2019-03-13,420.97
2019-03-14,423.21
2019-03-15,416.88
2019-03-18,416.38
2019-03-19,415.03
2019-03-20,412.99
2019-03-21,412.32
2019-03-22,417.85
2019-03-25,412.24
2019-03-26,418.94
2019-03-27,407.5
2019-03-28,406.87
2019-03-29,407.74
2019-04-01,409.93
2019-04-02,412.64
2019-04-03,415.76
2019-04-04,413.69
2019-04-05,412.38
2019-04-08,416.13
2019-04-09,414.69
2019-04-10,410.22
2019-04-11,405.31
2019-04-12,401.54
2019-04-15,404.87
2019-04-16,405.09
2019-04-17,407.39
2019-04-18,405.28
2019-04-19,406.51
2019-04-22,408.87
2019-04-23,407.31
2019-04-24,409.46
2019-04-25,406.45
2019-04-26,405.58
2019-04-29,404.68
2019-04-30,400.84
2019-05-01,403.99
2019-05-02,401.39
2019-05-03,402.12
2019-05-06,403.91
2019-05-07,405.49
2019-05-08,407.87
2019-05-09,407.11
2019-05-10,405.99
2019-05-13,406.19
2019-05-14,400.95
2019-05-15,394.24
2019-05-16,387.62
2019-05-17,383.12
2019-05-20,386.19
2019-05-21,381.88
2019-05-22,380.94
2019-05-23,385.55
2019-05-24,383.12
2019-05-27,386.81
2019-05-28,382.01
2019-05-29,381.94
2019-05-30,379.23
2019-05-31,378.51
2019-06-03,381.62
2019-06-04,373.82
2019-06-05,378.1
2019-06-06,378.55
2019-06-07,376.82
2019-06-10,372.13
2019-06-11,373.48
2019-06-12,371.52
2019-06-13,372.82
2019-06-14,372.84
2019-06-17,377.72
2019-06-18,375.77
2019-06-19,372.41
2019-06-20,373.87
2019-06-21,374.57
2019-06-24,379.06
2019-06-25,382.53
2019-06-26,383.62
2019-06-27,388.55
2019-06-28,381.73
2019-07-01,379.4
2019-07-02,376.33
2019-07-03,375.33
2019-07-04,371.04
2019-07-05,375.04
2019-07-08,373.54
2019-07-09,368.8
2019-07-10,364.76
2019-07-11,367.01
2019-07-12,370.0
2019-07-15,378.16
2019-07-16,396.5
2019-07-17,398.0
2019-07-18,394.15
2019-07-19,385.03
2019-07-22,388.81
2019-07-23,384.5
2019-07-24,383.37
2019-07-25,381.54
2019-07-26,381.54
2019-07-29,384.94
2019-07-30,385.18
2019-07-31,384.77
2019-08-01,381.69
2019-08-02,375.29
2019-08-05,373.91
2019-08-06,374.12
2019-08-07,379.46
2019-08-08,379.26
2019-08-09,382.44
2019-08-12,379.96
2019-08-13,375.82
2019-08-14,372.13
2019-08-15,369.61
2019-08-16,378.78
2019-08-19,371.63
2019-08-20,378.17
2019-08-21,371.86
2019-08-22,378.39
2019-08-23,379.65
2019-08-26,379.14
2019-08-27,379.26
2019-08-28,377.42
2019-08-29,379.49
2019-08-30,377.56
2019-09-02,373.6
2019-09-03,368.57
2019-09-04,370.46
2019-09-05,376.05
2019-09-06,376.09
2019-09-09,376.01
2019-09-10,377.01
2019-09-11,381.32
2019-09-12,381.68
2019-09-13,380.54
2019-09-16,384.83
2019-09-17,386.3
2019-09-18,391.75
2019-09-19,391.84
2019-09-20,388.31
2019-09-23,383.03
2019-09-24,392.99
2019-09-25,404.47
2019-09-26,400.97
2019-09-27,400.02
2019-09-30,405.61
2019-10-01,398.58
2019-10-02,394.45
2019-10-03,398.42
2019-10-04,395.99
2019-10-07,396.69
2019-10-08,396.17
2019-10-09,397.49
2019-10-10,402.47
2019-10-11,402.26
2019-10-14,404.63
2019-10-15,395.92
2019-10-16,397.25
2019-10-17,394.03
2019-10-18,389.4
2019-10-21,386.08
2019-10-22,385.35
2019-10-23,388.61
2019-10-24,382.25
2019-10-25,383.76
2019-10-28,382.01
2019-10-29,381.26
2019-10-30,384.79
2019-10-31,386.68
2019-11-01,391.65
2019-11-04,390.22
2019-11-05,388.11
2019-11-06,387.73
2019-11-07,388.64
2019-11-08,389.27
2019-11-11,385.9
2019-11-12,387.07
2019-11-13,387.77
2019-11-14,396.07
2019-11-15,407.7
2019-11-18,398.77
2019-11-19,398.5
2019-11-20,394.06
2019-11-21,391.98
2019-11-22,393.79
2019-11-25,398.39
2019-11-26,394.0
2019-11-27,391.66
2019-11-28,383.55
2019-11-29,384.12
2019-12-02,380.9
2019-12-03,379.33
2019-12-04,376.57
2019-12-05,376.75
2019-12-06,371.73
2019-12-09,365.48
2019-12-10,378.88
2019-12-11,365.16
2019-12-12,358.01
2019-12-13,370.56
2019-12-16,394.16
2019-12-17,374.1
2019-12-18,373.44
2019-12-19,374.71
2019-12-20,380.66
2019-12-23,374.37
2019-12-24,374.25
2019-12-25,376.66
2019-12-26,378.02
2019-12-27,376.65
2019-12-30,376.69
2019-12-31,372.87
2020-01-01,372.58
2020-01-02,371.91
2020-01-03,372.95
2020-01-06,371.18
2020-01-07,373.36
2020-01-08,376.99
2020-01-09,377.11
2020-01-10,378.32
2020-01-13,378.55
2020-01-14,378.66
2020-01-15,376.63
2020-01-16,378.27
2020-01-17,377.81
2020-01-20,384.71
2020-01-21,393.26
2020-01-22,394.48
2020-01-23,391.63
2020-01-24,387.6
2020-01-27,394.33
2020-01-28,394.86
2020-01-29,396.45
2020-01-30,389.76
2020-01-31,396.74
2020-02-03,398.58
2020-02-04,394.13
2020-02-05,392.68
2020-02-06,393.99
2020-02-07,394.14
2020-02-10,393.49
2020-02-11,393.42
2020-02-12,392.78
2020-02-13,393.48
2020-02-14,398.47
2020-02-17,384.47
2020-02-18,384.94
2020-02-19,385.53
2020-02-20,386.45
2020-02-21,385.22
2020-02-24,379.61
2020-02-25,382.55
2020-02-26,389.55
2020-02-27,379.06
2020-02-28,387.73
2020-03-02,384.17
2020-03-03,384.68
2020-03-04,381.38
2020-03-05,380.58
2020-03-06,385.19
2020-03-09,387.57
2020-03-10,394.35
2020-03-11,400.46
2020-03-12,401.99
2020-03-13,408.54
2020-03-16,410.32
2020-03-17,413.44
2020-03-18,411.64
2020-03-19,412.31
2020-03-20,410.0
2020-03-23,414.86
2020-03-24,407.87
2020-03-25,414.17
2020-03-26,411.97
2020-03-27,417.45
2020-03-30,421.03
2020-03-31,429.44
2020-04-01,433.25
2020-04-02,424.82
2020-04-03,426.07
2020-04-06,421.68
2020-04-07,419.95
2020-04-08,426.47
2020-04-09,429.34
2020-04-10,425.85
2020-04-13,421.9
2020-04-14,422.94
2020-04-15,418.4
2020-04-16,415.79
2020-04-17,417.83
2020-04-20,422.54
2020-04-21,425.13
2020-04-22,414.79
2020-04-23,419.09
2020-04-24,418.9
2020-04-27,420.59
2020-04-28,426.94
2020-04-29,413.46
2020-04-30,410.54
2020-05-01,413.91
2020-05-04,406.25
2020-05-05,417.56
2020-05-06,418.7
2020-05-07,421.74
2020-05-08,418.78
2020-05-11,423.32
2020-05-12,428.34
2020-05-13,428.86
2020-05-14,429.67
2020-05-15,430.73
2020-05-18,427.6
2020-05-19,427.64
2020-05-20,427.26
2020-05-21,428.73
2020-05-22,432.64
2020-05-25,426.9
2020-05-26,427.37
2020-05-27,432.6
2020-05-28,427.55
2020-05-29,424.13
2020-06-01,426.01
2020-06-02,429.33
2020-06-03,428.91
2020-06-04,433.71
2020-06-05,437.78
2020-06-08,441.73
2020-06-09,444.06
2020-06-10,454.25
2020-06-11,450.83
2020-06-12,441.79
2020-06-15,455.81
2020-06-16,448.95
2020-06-17,451.02
2020-06-18,456.51
2020-06-19,446.28
2020-06-22,438.51
2020-06-23,429.25
2020-06-24,425.17
2020-06-25,428.23
2020-06-26,430.34
2020-06-29,431.43
2020-06-30,426.08
2020-07-01,414.28
2020-07-02,416.92
2020-07-03,414.59
2020-07-06,417.25
2020-07-07,420.02
2020-07-08,420.27
